Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
Brunei Darussalam,BRN,Unemployment total (% of total labor force) (national estimate),SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,8.25,7.84999990463257,8.0600004196167,8.69999980926514,10.039999961853,7.67000007629395,7.84000015258789,6.55000019073486,6.03999996185303,,,,,,,,4.69999980926514,,,,,,,,,,,,,,,,,,,,,,,6.96999979019165,,,9.31999969482422,8.69999980926514,6.92000007629395,,
Cambodia,KHM,Unemployment total (% of total labor force) (national estimate),SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.839999973773956,,,,2.75999999046326,2.05999994277954,,,7.53000020980835,,,1.25999999046326,0.819999992847443,0.579999983310699,0.769999980926514,0.579999983310699,1.27999997138977,0.439999997615814,0.689999997615814,0.389999985694885,0.720000028610229,0.140000000596046,,,,
Indonesia,IDN,Unemployment total (% of total labor force) (national estimate),SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,1.91999995708466,1.28999996185303,2.48000001907349,,1.6599999666214,,2.84999990463257,,,2.09999990463257,2.58999991416931,2.54999995231628,2.74000000953674,,2.53999996185303,2.61999988555908,2.73000001907349,2.77999997138977,4.36999988555908,,4.8600001335144,4.67999982833862,5.46000003814697,6.3600001335144,6.07999992370605,6.07999992370605,6.59999990463257,6.65999984741211,7.30000019073486,7.94000005722046,7.55000019073486,8.0600004196167,7.21000003814697,6.1100001335144,5.6100001335144,5.15000009536743,4.46999979019165,4.34000015258789,4.05000019073486,4.51000022888184,4.30000019073486,3.88000011444092,4.40000009536743,3.61999988555908,,
Lao PDR,LAO,Unemployment total (% of total labor force) (national estimate),SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59999990463257,,,,,,,,,,1.35000002384186,,,,,0.709999978542328,,,,,,,9.40999984741211,,,,
Malaysia,MYS,Unemployment total (% of total labor force) (national estimate),SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,3.40000009536743,3.79999995231628,5.84000015258789,6.92000007629395,8.28999996185303,7.32999992370605,7.26000022888184,5.73000001907349,4.5,,3.71000003814697,4.1100001335144,,3.15000009536743,2.51999998092651,2.45000004768372,3.20000004768372,3.4300000667572,3,3.52999997138977,3.48000001907349,3.60999989509583,3.53999996185303,3.52999997138977,3.30999994277954,3.23000001907349,3.3199999332428,3.66000008583069,3.39000010490417,3.08999991416931,3.09999990463257,3.16000008583069,2.88000011444092,3.09999990463257,3.44000005722046,3.41000008583069,3.29999995231628,3.25999999046326,,
Myanmar,MMR,Unemployment total (% of total labor force) (national estimate),SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,0.769999980926514,,1.55999994277954,0.870000004768372,0.5,,
Philippines,PHL,Unemployment total (% of total labor force) (national estimate),SL.UEM.TOTL.NE.ZS,,,,,,,,,,6.69999980926514,,5.28000020980835,5.3600001335144,4.76999998092651,3.21000003814697,3.82999992370605,4.80000019073486,4.46999979019165,4,3.5,4.75,5.3600001335144,5.5,4.8899998664856,7.03000020980835,6.07000017166138,6.42999982833862,9.10000038146973,8.34000015258789,8.42000007629395,8.13000011444092,10.6000003814697,9.86999988555908,9.28999996185303,9.47999954223633,9.52999973297119,8.5600004196167,8.77999973297119,10.25,9.8100004196167,11.1899995803833,3.70000004768372,,3.52999997138977,3.54999995231628,3.79999995231628,4.05000019073486,3.4300000667572,3.72000002861023,3.85999989509583,3.60999989509583,3.58999991416931,3.5,3.5,3.59999990463257,3.0699999332428,2.70000004768372,2.54999995231628,2.33999991416931,2.24000000953674,,
Singapore,SGP,Unemployment total (% of total labor force) (national estimate),SL.UEM.TOTL.NE.ZS,,,,,,,,,,,6.05999994277954,4.80000019073486,4.69999980926514,4.51000022888184,3.97000002861023,4.55000019073486,4.48000001907349,3.9300000667572,2.25999999046326,2.11999988555908,1.79999995231628,1.64999997615814,1.5,1.69000005722046,2.69000005722046,4.26999998092651,6.84000015258789,5,3.54999995231628,2.34999990463257,,2.1800000667572,3.08999991416931,3.0699999332428,3.02999997138977,3.29999995231628,3.5699999332428,2.5,3.41000008583069,4.84999990463257,3.70000004768372,3.75999999046326,5.65000009536743,5.92999982833862,5.84000015258789,5.59000015258789,4.48000001907349,3.90000009536743,3.96000003814697,5.8600001335144,4.11999988555908,3.89000010490417,3.72000002861023,3.85999989509583,3.74000000953674,3.78999996185303,4.07999992370605,4.19999980926514,,,,
Thailand,THA,Unemployment total (% of total labor force) (national estimate),SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,0.189999997615814,0.509999990463257,0.430000007152557,0.469999998807907,0.449999988079071,0.600000023841858,0.899999976158142,0.75,0.920000016689301,0.930000007152557,1.25999999046326,2.66000008583069,2.90000009536743,2.90000009536743,4.92999982833862,3.5,5.76999998092651,3.03999996185303,1.38999998569489,2.21000003814697,2.63000011444092,1.35000002384186,1.49000000953674,1.35000002384186,1.10000002384186,1.07000005245209,0.870000004768372,3.40000009536743,2.97000002861023,2.39000010490417,2.59999990463257,1.82000005245209,1.53999996185303,1.50999999046326,1.35000002384186,1.22000002861023,1.17999994754791,1.17999994754791,1.49000000953674,0.620000004768372,0.660000026226044,0.579999983310699,0.25,0.579999983310699,0.600000023841858,0.689999997615814,0.829999983310699,0.769999980926514,0.720000028610229,,
Vietnam,VNM,Unemployment total (% of total labor force) (national estimate),SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92999994754791,2.86999988555908,2.28999996185303,2.32999992370605,2.25999999046326,2.75999999046326,2.11999988555908,2.25,2.14000010490417,,,2.02999997138977,,1.74000000953674,1.11000001430511,1,1.02999997138977,1.32000005245209,1.25999999046326,1.85000002384186,1.85000002384186,1.87000000476837,1.1599999666214,2.03999996185303,2.39000010490417,
